ANLAGE;VKONTO;COORX;COORY
100803827;000005641004;-36.6649117;-72.9608485
100835855;000005667029;-36.6661337;-72.9594195
G45103210;000005719280;-36.7180412;-72.9710275
100972386;000005771994;-36.7107419;-72.9653834
100982317;000005790842;-36.7472134;-72.9929577
100160274;000005142179;-36.7116013;-72.9651291
100160276;000005142186;-36.7114196;-72.9652091
100160277;000005139731;-36.7113277;-72.9669778
100160280;000005139833;-36.7112674;-72.9652678
100160282;000005139835;-36.7112641;-72.9652734
100160283;000005139839;-36.7111089;-72.9655562
100160284;000005139840;-36.7111922;-72.9656206
100160286;000005139849;-36.7112636;-72.9652765
100160287;000005139850;-36.7112619;-72.9652791
100160288;000005139829;-36.711972;-72.9649881
100161068;000005136892;-36.7117527;-72.9659407
100161069;000005136895;-36.7116892;-72.9659788
100161072;000005136921;-36.711826;-72.9662236
100161096;000005142182;-36.7115115;-72.9651867
100161099;000005142189;-36.7116227;-72.96514
100161104;000005137584;-36.711361;-72.9665639
100161106;000005141371;-36.7113496;-72.966948
100163062;000005139853;-36.7111317;-72.965694
100164252;000005143364;-36.7112814;-72.9652654
100164255;000005141655;-36.7111672;-72.9656959
100165028;000005134891;-36.7116026;-72.9658717
100165029;000005134892;-36.7116228;-72.9658934
100165030;000005134893;-36.7115596;-72.9658992
100165031;000005134894;-36.7116211;-72.9658466
100165032;000005136880;-36.7116001;-72.9658253
100165086;000005136911;-36.7116843;-72.9659693
100165098;000005136916;-36.7118285;-72.9662263
100165103;000005136918;-36.7117512;-72.9660286
100165433;000005141644;-36.711517;-72.9651844
100165440;000005143380;-36.7113443;-72.9652155
100165441;000005143365;-36.7112255;-72.9652811
100166248;000005143385;-36.7112952;-72.9652583
100165172;000005137972;-36.7113458;-72.9667666
100341429;000005265345;-36.665247;-72.9627061
100451003;000005358275;-36.6660584;-72.9618237
100517116;000005398689;-36.744538;-72.9926535
100540108;000005440807;-36.7091636;-72.9733574
100767233;000001964318;-36.7109637;-72.9714231
100796226;000005636167;-36.714995;-72.9719486
100850180;000005683641;-36.7462539;-72.9928535
G45114721;000005784745;-36.7161079;-72.9717611
100990166;000005792585;-36.6729993;-72.965251
102213009;000006173577;-36.7111444;-72.9722794
102213106;000006150371;-36.713988;-72.9711153
102181043;000006174526;-36.6734532;-72.9672099
101208438;000005845775;-36.6649129;-72.9580087
101826099;000006070773;-36.6649212;-72.9626237
102199958;000006166737;-36.6727729;-72.9604282
102360065;000006247258;-36.7122274;-72.9667411
101223001;000005873211;-36.6661469;-72.9586499
101987369;000006123387;-36.7144648;-72.9707718
102827756;000006442253;-36.6633811;-72.9596125
102020163;000006110004;-36.713537;-72.9739797
100095245;000006548252;-36.6651158;-72.9626666
102675282;000006350432;-36.7094864;-72.9743577
101913507;000006098178;-36.7149501;-72.9727783
100163061;000006405623;-36.7111706;-72.9657091
100164251;000006408227;-36.7112088;-72.9652805
102655844;000006359153;-36.665804;-72.9617583
102238020;000006183648;-36.6645054;-72.9625432
101066048;000005808320;-36.6644458;-72.959395
102827796;000006471733;-36.6732109;-72.9677687
101831035;000006070511;-36.7121538;-72.9648772
102417664;000006261123;-36.7151918;-72.9739762
102243018;000006189895;-36.6647008;-72.9592554
102794268;000006450077;-36.6635119;-72.9606076
101137129;000005823545;-36.6660074;-72.9610576
G45116486;000006161712;-36.7049232;-72.971717
G45103394;000006162224;-36.7141246;-72.9724234
100968151;000006162584;-36.71038;-72.9655212
100165182;000006266259;-36.7118322;-72.9663317
G45116146;000006268322;-36.7042411;-72.9721053
100968049;000006269001;-36.7101272;-72.967359
102754577;000006410488;-36.7110699;-72.9712266
102803082;000006460633;-36.6648583;-72.9611325
102326215;000006160073;-36.6726947;-72.9621086
102358147;000006272200;-36.7123573;-72.9664384
102755015;000006408884;-36.7112355;-72.9718632
G45103431;000006256175;-36.7142723;-72.9707509
G45102265;000006259742;-36.7248346;-72.9772971
100968211;000006261898;-36.7110251;-72.964314
102678634;000006404358;-36.6654075;-72.9616814
101983472;000006131688;-36.7140421;-72.9715516
102199565;000006157652;-36.6742529;-72.9632414
101950009;000006100068;-36.711972;-72.9712664
100968090;000006246581;-36.7104803;-72.9649929
100968045;000006248608;-36.710149;-72.9676418
G45102209;000006250317;-36.7258214;-72.9771836
100160281;000006252396;-36.7112689;-72.9652676
102350009;000006272040;-36.7462343;-72.9923754
100160263;000006087478;-36.7113585;-72.9656901
G45116377;000006088355;-36.7054276;-72.9732746
G45157777;000006090128;-36.7129907;-72.9703215
G45116158;000006090285;-36.7042385;-72.9720797
100968227;000006467335;-36.7107075;-72.9641871
101913194;000006093900;-36.6633777;-72.9596029
102419342;000006266356;-36.709049;-72.9730425
100968155;000006421142;-36.7104474;-72.9652164
102325273;000006233802;-36.6738238;-72.9676297
100968056;000006099030;-36.7102171;-72.9669349
102590148;000006345170;-36.665299;-72.9615344
100968239;000006093466;-36.7102549;-72.9639248
100968128;000006332524;-36.710209;-72.9670542
102594948;000006362079;-36.7120374;-72.9658164
102784091;000006456549;-36.7135812;-72.9728257
102300385;000006238521;-36.7174259;-72.9702386
102663940;000006405670;-36.6650122;-72.9595921
101959005;000006109998;-36.7123663;-72.9664285
101963159;000006107787;-36.7123672;-72.9664295
100968105;000006334506;-36.7102185;-72.963922
100968101;000006334568;-36.7102498;-72.9641347
100165040;000006105778;-36.7115916;-72.9659065
100166251;000006107557;-36.7112729;-72.9652639
G45116220;000006174479;-36.7041586;-72.9709512
G45115967;000006173903;-36.7048763;-72.9729917
G45116556;000006177126;-36.7041692;-72.9707346
100968115;000006177146;-36.7101521;-72.9679263
100968167;000006178618;-36.7105497;-72.9660255
102322953;000006255161;-36.7155654;-72.9733176
102585209;000006341486;-36.6663677;-72.9577365
102009020;000006137084;-36.7116703;-72.9739743
102295129;000006238324;-36.7142065;-72.9701856
101949201;000006107745;-36.712372;-72.9663536
102288555;000006229125;-36.7133692;-72.9708163
102295504;000006203117;-36.7121751;-72.9737737
102645162;000006397198;-36.6649812;-72.9637171
100968208;000006131949;-36.7107116;-72.9642517
102755128;000006416428;-36.6737516;-72.9628382
G554423;000006134127;-36.6730429;-72.9653342
101924146;000006100240;-36.7123655;-72.9664288
101924147;000006100236;-36.7123626;-72.9664338
102193001;000006168526;-36.6631857;-72.9597909
102176032;000006150523;-36.6744703;-72.9636106
G4557574;000006475132;-36.8144549;-72.9345617
102487639;000006315956;-36.6662771;-72.9591094
102805871;000006475150;-36.6737858;-72.9627455
102594321;000006347027;-36.6730812;-72.9590489
G45116139;000006155201;-36.7038486;-72.9714345
100167149;000006317028;-36.7112794;-72.9662205
101837873;000006076092;-36.6633106;-72.9604255
102519026;000006303014;-36.813688325070132;-72.93511451235969
100968228;000006443237;-36.7106888;-72.9641941
102327792;000006248439;-36.6640042;-72.9632873
G45115942;000006279205;-36.7049478;-72.9731206
G5514056;000006443441;-36.6735098;-72.9651141
G45116154;000006429000;-36.7042366;-72.9720822
G45103346;000006430138;-36.7155374;-72.9710451
100160419;000006430497;-36.711285;-72.9652666
G554520;000006093305;-36.6744231;-72.9634343
100968177;000005844071;-36.7104007;-72.9646098
100968231;000005844204;-36.7104949;-72.9642631
102052001;000006161415;-36.6734398;-72.9677142
102052017;000006158000;-36.7084728;-72.9732063
101842174;000006075523;-36.7123686;-72.9663618
G45102568;000006123826;-36.722371;-72.975822
G45102567;000006128269;-36.7223281;-72.9758292
G45102505;000006123947;-36.7218504;-72.976757
100968104;000006128575;-36.7102509;-72.9641173
100968127;000006128644;-36.7101797;-72.9670585
100968159;000006128831;-36.7107348;-72.9655431
102025748;000006153252;-36.6734811;-72.967353
G45116520;000006450784;-36.7045112;-72.9711844
100968074;000006450830;-36.7103484;-72.9659202
G45116360;000006380494;-36.7058744;-72.9736551
101828772;000006084056;-36.6736812;-72.9675737
G45116137;000006207478;-36.7038968;-72.9713802
100968146;000006207798;-36.7103726;-72.9656465
100968089;000006211071;-36.7104794;-72.9648758
G554375;000006107510;-36.6724806;-72.9591548
G45116029;000005936151;-36.7050242;-72.9730614
100968093;000005960373;-36.7103874;-72.964689
100968240;000005964117;-36.7101685;-72.9682956
100968226;000005980200;-36.7107141;-72.9641803
100968184;000006009452;-36.7107036;-72.964601
G45116102;000005867161;-36.7040506;-72.9717649
G45116522;000005925531;-36.7045059;-72.9711906
G45116215;000005960182;-36.7046595;-72.9712254
G45102715;000005978854;-36.711925;-72.9734375
G45116123;000005895564;-36.7041693;-72.9722674
101369281;000005898160;-36.6732364;-72.9673843
101429624;000005915133;-36.6738165;-72.9678202
100164256;000005805314;-36.7111366;-72.9657421
100165180;000005812271;-36.7118776;-72.9663195
G45102240;000005816749;-36.7251898;-72.9775881
G45110322;000005831109;-36.7095365;-72.9730544
100968052;000005845720;-36.7101433;-72.9671744
100968141;000005845728;-36.7105581;-72.9664009
100968109;000005847026;-36.7102227;-72.9638618
100968124;000005849009;-36.7101811;-72.9673157
100968131;000005852314;-36.7102394;-72.9668456
100968217;000005849380;-36.7111296;-72.9641982
100166167;000005849376;-36.7118594;-72.9651166
100968103;000005849615;-36.710253;-72.9641195
100968174;000005849618;-36.7104945;-72.9647972
100968100;000005849490;-36.7102497;-72.9641406
100968135;000005850537;-36.7103016;-72.9665152
100968096;000005855756;-36.7103867;-72.9645697
100968085;000005864025;-36.7104042;-72.9652194
100968088;000005881364;-36.7104918;-72.9649506
100968060;000005890280;-36.7102256;-72.9667451
100165166;000005889580;-36.7113224;-72.9667467
100167155;000005889581;-36.7113099;-72.966536
100968050;000005889575;-36.710109;-72.9673656
G45139683;000005895439;-36.7090088;-72.9731255
G554489;000005950107;-36.6738339;-72.96315
100968218;000005960202;-36.7111123;-72.964187
100968144;000005970898;-36.7103712;-72.9659015
G45103159;000005979289;-36.7164705;-72.9735525
G45116152;000005982120;-36.7041918;-72.9720658
100968063;000005982819;-36.7102272;-72.966592
100165070;000005982955;-36.7116944;-72.9659464
100968065;000005991447;-36.7103397;-72.9664522
100968057;000006040533;-36.7102261;-72.9669475
G45156679;000006070731;-36.7123763;-72.9693476
100160264;000006084988;-36.7117794;-72.9654806
G45102252;000006238421;-36.7254565;-72.9765598
100968201;000006490898;-36.710715;-72.9657145
G5515087;000005836308;-36.6727902;-72.9639637
100968137;000005844379;-36.7103191;-72.9664227
G45109194;000005843629;-36.7108687;-72.9724795
100968062;000005852313;-36.710239;-72.9666082
G45102172;000005849012;-36.7270935;-72.9777911
100165173;000005851989;-36.7113391;-72.9667392
100968134;000005853184;-36.7102859;-72.9666067
100968097;000005853096;-36.7103817;-72.9645303
100968061;000005853215;-36.7102312;-72.9667216
100968199;000005872652;-36.7106672;-72.9659383
G45116334;000005872668;-36.7049038;-72.9729596
100968148;000005885178;-36.7103668;-72.9655954
100968187;000005901905;-36.7108042;-72.9646206
G45123295;000005915880;-36.7159044;-72.9726962
100968185;000005930266;-36.7107168;-72.9646016
100968175;000005930301;-36.7104425;-72.9648038
100968053;000005960460;-36.7101597;-72.9670475
100968230;000005960374;-36.7105022;-72.964252
G45156665;000005979095;-36.7128074;-72.9702729
100968190;000005995487;-36.7108004;-72.9649964
100160253;000006002808;-36.7118853;-72.9656129
100968196;000006022209;-36.7106572;-72.9659248
G554494;000006022223;-36.6738899;-72.9636927
100165176;000006024132;-36.7113392;-72.9668208
100167156;000006024778;-36.7112883;-72.9664445
G45102523;000006027776;-36.7227709;-72.9759553
G45102254;000006031461;-36.7255189;-72.9759681
100968157;000006032493;-36.7107265;-72.9654861
G45102787;000006035524;-36.7088071;-72.9729361
100968220;000006045512;-36.710896;-72.9640719
G5519011;000006054032;-36.6651585;-72.9582822
100968156;000006055207;-36.7107282;-72.9654784
G45115965;000006071549;-36.7048786;-72.9729957
100968092;000006075232;-36.7104845;-72.9647318
G45102684;000006081067;-36.7130875;-72.9738719
101833603;000006075673;-36.6730605;-72.9678947
101826374;000006082392;-36.7130087;-72.9732084
101834464;000006082957;-36.6665293;-72.958955
101922069;000006100066;-36.7119636;-72.9712224
102024029;000006143231;-36.7179212;-72.970841
102206085;000006177931;-36.7155;-72.9741209
100169020;000006234432;-36.7113445;-72.9666253
100160258;000006243194;-36.7118965;-72.9656318
100968121;000006245528;-36.7101824;-72.9674845
G45156696;000006246532;-36.7118011;-72.9702525
G45116504;000006283288;-36.7051048;-72.9718754
G45116339;000006283619;-36.7050032;-72.9728061
100968066;000006284795;-36.7102663;-72.9664086
G45116017;000006290892;-36.7051863;-72.973162
G45102127;000006295568;-36.7264809;-72.9772188
100165033;000006487243;-36.7116846;-72.9660305
100968181;000006492518;-36.710726;-72.9642751
100160278;000005911260;-36.7113967;-72.9651881
100164253;000005911259;-36.7113722;-72.9652234
100166246;000005985740;-36.7112011;-72.9658275
G45117009;000006017265;-36.7053783;-72.9720014
100781245;000006025558;-36.6660238;-72.9617369
G45116063;000006048546;-36.7043423;-72.9722304
G45116045;000006045715;-36.7043872;-72.9723097
G45103192;000006125040;-36.7166905;-72.9695785
102275442;000006213335;-36.6733456;-72.9641996
100968120;000006284197;-36.7101456;-72.9675772
G45116361;000006340246;-36.7058584;-72.9736583
100968122;000006357269;-36.7101796;-72.967418
100164474;000006382765;-36.6644305;-72.9594039
102780952;000006426379;-36.6724829;-72.9632475
G45116987;000006492368;-36.7043319;-72.9712293
101394204;000005901457;-36.7254098;-72.9785196
101400191;000005898972;-36.6724876;-72.963244
101618039;000005967161;-36.6730551;-72.9601914
101808333;000006050074;-36.715617;-72.9709869
101808382;000006045224;-36.7120312;-72.9719706
101660913;000005995736;-36.6730537;-72.9614542
101339010;000005890243;-36.6730048;-72.9594192
101115005;000005819080;-36.7157861;-72.9719104
101643187;000005970985;-36.6659925;-72.9608544
101808697;000006047610;-36.6637154;-72.9583855
101487391;000005920453;-36.6635597;-72.9589242
101610064;000005960523;-36.672861;-72.9604241
101655238;000005979125;-36.6633086;-72.9600984
101059200;000005808072;-36.7182868;-72.9763882
101690220;000005999322;-36.7464375;-72.9917511
101379408;000005898458;-36.7035381;-72.9710459
101367046;000005886820;-36.7142569;-72.9707455
101798453;000006061603;-36.6660179;-72.9610453
101394369;000005901868;-36.6634221;-72.9596687
G45116077;000005889577;-36.7042706;-72.9720471
101304120;000005886303;-36.6630781;-72.9590222
101733981;000006021184;-36.7164349;-72.9699236
101621433;000005970602;-36.6634203;-72.9589319
101304007;000005886525;-36.815949323029706;-72.94300427409766
101790044;000006034806;-36.6730292;-72.9596241
101479106;000005923324;-36.7133665;-72.9711559
101659096;000005982658;-36.7183617;-72.9760979
102984027;000006556166;-36.6729187;-72.9672989
101431057;000005912335;-36.7101033;-72.9719536
G45103474;000005351371;-36.7124757;-72.9726825
101824308;000006067310;-36.816610542722692;-72.94369940317297
101171858;000005845712;-36.66561;-72.9592935
101720907;000006022157;-36.7051851;-72.9720845
101709293;000006010130;-36.7183134;-72.9764836
101139132;000005819896;-36.6739782;-72.9672042
100800349;000005643210;-36.6732885;-72.9679481
G45102138;000005736131;-36.7266783;-72.9774307
G45116544;000005736572;-36.7041948;-72.9709171
101604304;000005960507;-36.7044014;-72.9723182
G45102981;000005485723;-36.7108269;-72.972453
101206686;000005873021;-36.7098757;-72.9731317
101206687;000005870394;-36.6732104;-72.9676112
G45116228;000005296905;-36.7040838;-72.9709187
100796184;000005634908;-36.664504;-72.9625312
101525301;000005941374;-36.7098545;-72.9723578
100728787;000001952569;-36.7052;-72.9720522
G5515208;000005634856;-36.67361;-72.961475
100833906;000005671087;-36.8163032;-72.9427721
G45123216;000005765357;-36.815727307528924;-72.94291656927763
100165108;000005980310;-36.7117812;-72.9661243
100712379;000005548444;-36.6647393;-72.9615236
100729314;000001935645;-36.7054313;-72.9732707
100763171;000005561784;-36.7130933;-72.9717808
100763187;000005618200;-36.7119613;-72.9706963
101586057;000005955112;-36.6649253;-72.9626245
101647026;000005974100;-36.7123672;-72.9664293
101811144;000006065087;-36.6658411;-72.9591855
100758124;000001951617;-36.7056152;-72.9730472
100764006;000005610783;-36.6739868;-72.9672737
100803369;000005640294;-36.673769;-72.9673207
100813240;000005643851;-36.7121268;-72.9649009
100829401;000005663251;-36.7100581;-72.9729155
100871864;000005704611;-36.7141456;-72.9702132
100937285;000001952762;-36.7053375;-72.9720784
100958414;000005732365;-36.6638106;-72.9631494
100961007;000005763712;-36.7118242;-72.973176
101031001;000005800479;-36.7189577;-72.9760445
101047037;000005807311;-36.6725209;-72.9633849
101206154;000005868194;-36.6659395;-72.9618662
101216014;000005859458;-36.6661397;-72.9585661
101263034;000005883489;-36.7133029;-72.9733288
101303006;000005886433;-36.6636544;-72.9595767
101303008;000005883720;-36.6662597;-72.9586371
101393348;000005898112;-36.6728629;-72.96391
101393374;000005895889;-36.673191;-72.9673216
101396614;000005901618;-36.6734561;-72.9673295
101399008;000005898164;-36.6745491;-72.9657031
101399009;000005895885;-36.6737525;-72.9672336
101399010;000005895882;-36.6737697;-72.9673442
101429620;000005915028;-36.6654107;-72.961177
101429846;000005895890;-36.6735297;-72.9673982
101430081;000005912322;-36.666709;-72.9589067
101487024;000005923226;-36.6658259;-72.9591697
101487025;000005915375;-36.7145777;-72.9718639
G45116433;000005960296;-36.7051366;-72.9725809
101618014;000005960093;-36.6643178;-72.9627433
101621336;000005967841;-36.6639893;-72.9640735
101428458;000005915355;-36.6666738;-72.9589632
101656290;000005979458;-36.7140271;-72.9698871
101682015;000005991762;-36.6676383;-72.9568918
101687149;000005997248;-36.6635634;-72.9588756
101407019;000005895893;-36.6738067;-72.967253
101731223;000006010156;-36.7182963;-72.9763744
101727675;000006023719;-36.6649075;-72.9602245
101743188;000006020829;-36.6637329;-72.9584165
101581139;000005940269;-36.7188988;-72.9761294
101807342;000006047167;-36.6660718;-72.960339
101399012;000005895884;-36.6738075;-72.9674213
101110052;000005819417;-36.7094029;-72.9746362
101110051;000005819427;-36.7108804;-72.9735002
101521422;000005940331;-36.7151235;-72.9714697
G45375070;000002898108;-36.7208227;-72.9757137
100144097;000005133349;-36.7045534;-72.9711062
100201015;000005159230;-36.7134725;-72.9741149
100212282;000001970266;-36.7167677;-72.9739999
100344210;000001931904;-36.7040183;-72.9708846
100372042;000001935447;-36.7051042;-72.9720808
100443550;000005345735;-36.6721932;-72.9591874
100466203;000005364446;-36.7100279;-72.9719552
100481045;000005367442;-36.6647593;-72.9581833
100513300;000005358920;-36.6654435;-72.9581748
100516743;000005411359;-36.6654704;-72.9610497
100540121;000005399896;-36.6649104;-72.9602365
100588146;000005452549;-36.7121748;-72.9737444
100592298;000005472293;-36.713986;-72.9712082
100606213;000005466168;-36.6728857;-72.9674521
100627341;000005499668;-36.6726888;-72.9646709
100626699;000005499661;-36.6659026;-72.9591086
100698413;000005523566;-36.6658887;-72.9591887
